#,Exercise Name,Video URL
113,Dumbbell Romanian Deadlift,https://youtu.be/cYKYGwcg0U8
114,Banded Hip Thrust,https://youtu.be/EF7jXP17DPE
115,Lateral Band Walk,
116,Tibialis Raise,
117,Dragon Flag,
118,Pallof Press,
119,Weighted Sit-Up,
120,Plate Pinch,
121,Dead Hang,
122,Bent Over Lateral Raise,https://youtu.be/34gVHrkaiz0
123,Incline DB Front Raise,https://youtu.be/z3PRz2aVA10
124,Machine Shoulder Press,https://youtu.be/WvLMauqrnK8
125,Cable Rotation,
126,Reverse Grip Pulldown,
127,V Bar Pulldown,
128,Reverse Grip Pushdown,
129,Treadmill Run,
130,Outdoor Run,
131,Cycling,
132,Outdoor Cycling,
133,Rowing Machine,
134,Swimming,
135,Stairmaster,
136,Elliptical,
137,Jump Rope,
138,Walking (Incline),
139,Assault Bike,
140,HIIT Sprints,
141,Treadmill Intervals,
142,Rowing Intervals,
143,Bike Intervals,
